Depense Reel;Montant;Qui;Paiement;Mode
canac 0-34; 64.67  $ ;Max;Non Paye;Depense
remb. Canac 0-34; (47.42) $ ;Max;Non Paye;Depense
2x4x10; 5.05  $ ;Max;Non Paye;Depense
LAV; 215.00  $ ;Max;Non Paye;Depense
Beton sur mesure; 1 508.47  $ ;JD;Non Paye;Depense
Hrs Maxime; 933.75  $ ;Max;Non Paye;Cash
Truel Magnesie (simplex); 53.07  $ ;Max;Non Paye;Depense
Tapeuse 19 po (Simplex); 48.32  $ ;Max;Non Paye;Depense
Hrs Yves; 495.00  $ ;Yves;Non Paye;Cash
Hrs JD; 978.75  $ ;JD;Non Paye;Cash
Conteneur Express Bac; 546.25  $ ;Mariana;Paye;Depense
Metaux; 4 366.63  $ ;Mariana;Paye;Depense
