Step;Zone;Étape;Type;Tâche;Statut;Responsable;Date Butoire;Date début;Date fin;Blocants;Task Dependency;Qty;Note;Fournisseurs;Question
1;Garage;Démolition;Action;Démolition dalle béton;Fait;JD + Yves;;2026-06-01;2026-06-01;;;0;;;
1;Garage;Réalisation;Action;Plomberie;Fait;JD + Yves;;2026-06-01;2026-06-01;;;0;;;
1;Garage;Réalisation;Action;Préparation terrain — coffrage + armature;Fait;JD + Yves + Max;;2026-06-15;2026-06-15;Confirmer séquence demain;;1;;;
1;Garage;Réalisation;Action;Call Bétoniere pour dispo 22 ou 23 juin;Fait;JD;;2026-06-15;2026-06-15;;;0;;;
1;Garage;Réalisation;Action;Couler dalle béton;Fait;JD + Yves + Max;;2026-06-22;2026-06-22;🚫 Disponibilité bétonnière 22 ou 23 ?;Sedule Betoniere;0,5;;;A trois ou a 4 ? Dans budget prevu 3
1;Garage;Finitions;Action;Polissage dalle béton;Fait;JD;;2026-06-22;2026-06-22;Après coulée;Sedule Betoniere;0,5;;;Polyssage et finition du beton: as tu dis 1 gars au meeting?
1;Balcon 2e;Pre-Prod;Action;Prendre Couleur du mortier ;Fait;JD;;2026-06-22;2026-06-22;;;;;;
1;Balcon 2e;Pre-Prod;Action;réparé trailer Max;Fait;max;;2026-06-22;2026-06-23;;;1;;;
1;Balcon 2e;Pre-Prod;Action;Aller chercher les Echaffaudages;Fait;Max;;2026-06-22;2026-06-23;Reparé trailer;;0,5;;;
1;Metal;Réalisation;Action;Assemblage Structure Acier;En cours;JD+Yves;;2026-07-06;2026-07-24;;;;;;
1;Metal;Réalisation;Action;Galvanisation — Corbec Colonne 2e;Fait;JD+Yves;;2026-07-06;2026-07-24;Lead time à confirmer;;0,5;;Corbec;Galvanise le jour meme et on repart avec ? Donc le livreur attends la bas le temps du process ou doit aller rechercher
1;Metal;Pre-Prod;achat;Commander acier — Acier Picard;Fait;JD;46209;2026-07-09;2026-07-09;;;;;Acier Picard;
1;Metal;Réalisation;action;Couper Acier avec Liste de coupe;Fait;JD+Yves;;2026-07-06;2026-07-24;;;;;;
1;Metal;Pre-Prod;action;Ajustement de la liste de coupe;Fait;JD;;2026-07-06;2026-07-24;;;;;;
1;Metal;Réalisation;Logistique;Corbec a Mariana colonne 2e;Fait;JD;;2026-07-17;2026-07-17;;;;;;
1;Metal;Réalisation;Logistique;CORBEC a MARIANA — Corbec Escalier et Gardes;À faire;JD + Yves + Max;;2026-07-29;2026-08-31;;;;;;
1;Metal;Réalisation;Logistique;Chez JD a CORBEC — Corbec Escalier et Gardes;À faire;JD + Yves + Max;;2026-07-29;2026-08-31;;;;;;
1;Metal;Réalisation;Action;Galvanisation — Corbec Escalier et Gardes;À faire;JD + Yves + Max;;2026-07-29;2026-08-31;;;;;;
1;Metal;Réalisation;Logistique;Chez JD a Corbec - Colonne 2e;Fait;Max;46230;2026-07-13;2026-07-13;Trailer;;;;;
2;Balcon 2e;Démolition;Action;Démolition balcon 2e étage;Fait;JD + Yves;;2026-07-27;2026-07-27;;;1;;;Le locataire a-t-il une autre entré ?
2;Balcon 2e;Pre-Prod;Achat;Béton en sac;Fait;JD + Yves + Max;46230;2026-07-27;2026-07-27;;;5;pour les sonotubes, 0,60 pied3 chaque;Canac;
2;Balcon 2e;Démolition;Action;Coulée Beton Sonotube;Fait;JD + Yves + Max;;2026-07-27;2026-07-27;;;;;;
2;Balcon 2e;Démolition;Action;Reparation de la brique;Fait;JD + Yves + Max;;2026-07-27;2026-07-27;;;;;;
2;Balcon 2e;Démolition;Action;Sonotube pour Support Balcon 2e ;Fait;JD + Yves + Max;;2026-07-27;2026-07-27;Réserver Équipement LAV (1 sem. avant);Location Terriere Sonotube;;;;
2;Balcon 2e;Démolition;Action;Vendre le metal;Fait;;;2026-07-27;2026-07-27;;;;;AIM;Trailer Max sufisant ? 
2;Balcon 2e;Démolition;Action;Apporter Trailer Max;Fait;Max;;2026-07-27;2026-07-27;;;;;;
