Step;Zone;Étape;Type;Tâche;Statut;Responsable;Date Butoire;Date début;Date fin;Blocants;Task Dependency;Qty;Note;Fournisseurs;Question
1;Garage;Démolition;Action;Démolition dalle béton;Fait;JD + Yves;;1-6-2026;1-6-2026;;;0;;;
1;Garage;Réalisation;Action;Plomberie;Fait;JD + Yves;;1-6-2026;1-6-2026;;;0;;;
1;Garage;Réalisation;Action;Préparation terrain — coffrage + armature;Fait;JD + Yves + Max;;15-6-2026;15-6-2026;Confirmer séquence demain;;1;;;
1;Garage;Réalisation;Action;Call Bétoniere pour dispo 22 ou 23 juin;Fait;JD;;15-6-2026;15-6-2026;;;0;;;
1;Garage;Réalisation;Action;Couler dalle béton;Fait;JD + Yves + Max;;22-6-2026;22-6-2026;🚫 Disponibilité bétonnière 22 ou 23 ?;Sedule Betoniere;0.5;;;A trois ou a 4 ? Dans budget prevu 3
1;Garage;Finitions;Action;Polissage dalle béton;Fait;JD;;22-6-2026;22-6-2026;Après coulée;Sedule Betoniere;0.5;;;Polyssage et finition du beton: as tu dis 1 gars au meeting?
1;Balcon 2e;Pre-Prod;Action;Prendre Couleur du mortier ;Fait;JD;;22-6-2026;22-6-2026;;;;;;
1;Balcon 2e;Pre-Prod;Action;réparé trailer Max;Fait;max;;22-6-2026;23-6-2026;;;1;;;
1;Balcon 2e;Pre-Prod;Action;Aller chercher les Echaffaudages;Fait;Max;;22-6-2026;23-6-2026;Reparé trailer;;0.5;;;
1;Metal;Réalisation;Action;Assemblage Structure Acier;À faire;JD+Yves;;6-7-2026;24-7-2026;;;;;;
1;Metal;Réalisation;Action;Galvanisation — Corbec (40¢/lb);À faire;JD+Yves;;6-7-2026;24-7-2026;Lead time à confirmer;;0.5;;Corbec;Galvanise le jour meme et on repart avec ? Donc le livreur attends la bas le temps du process ou doit aller rechercher
1;Metal;Pre-Prod;achat;Commander acier — Acier Picard;À faire;JD;6-7-2026;9-7-2026;9-7-2026;;;;;Acier Picard;
1;Metal;Réalisation;action;Couper Acier avec Liste de coupe;À faire;JD+Yves;;6-7-2026;24-7-2026;;;;;;
1;Metal;Pre-Prod;action;Ajustement de la liste de coupe;À faire;JD;;6-7-2026;24-7-2026;;;;;;
1;Metal;Réalisation;Logistique;Corbec a Mariana;À faire;JD;;17-7-2026;17-7-2026;;;;;;
